firma,orcid,eid,doi,match,fecha_consulta
Hidalgo-Rosa Y.,0000-0002-1391-435X,2-s2.0-85160283740,10.1007/s10853-023-08581-6,apellido+inicial,2026-08-27
Arazo-Rusindo M.,0000-0001-7585-7226,2-s2.0-85160353965,10.3390/nu15102239,apellido+inicial,2026-08-27
Tiscornia C.,0000-0002-0138-083X,2-s2.0-85160353965,10.3390/nu15102239,apellido+inicial,2026-08-27
Simón L.,0000-0002-0130-3519,2-s2.0-85160353965,10.3390/nu15102239,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-85160353965,10.3390/nu15102239,apellido+inicial,2026-08-27
Castro-Sepulveda M.,0000-0002-2270-299X,2-s2.0-85160376076,10.1186/s40659-023-00431-8,apellido+inicial,2026-08-27
Caffarena-Barcenilla C.,0000-0001-9550-3695,2-s2.0-85160420923,10.1007/s12144-023-04779-8,apellido+inicial,2026-08-27
Rego T.,0000-0003-2271-4568,2-s2.0-85160453519,10.34624/agora.v25i0.31319,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-85160454058,10.3390/agronomy13051209,apellido+inicial,2026-08-27
Castro-Sepúlveda M.,0000-0002-2270-299X,2-s2.0-85161451497,10.1186/s40659-023-00436-3,apellido+inicial,2026-08-27
Herrera Araya D.,0000-0002-7631-9283,2-s2.0-85161922159,10.1080/00220272.2023.2223247,apellido+inicial,2026-08-27
Morales J.-P.,0000-0002-7304-5256,2-s2.0-85162131052,10.1016/j.ynstr.2023.100551,apellido+inicial,2026-08-27
Undurraga R.,0000-0001-5801-2125,2-s2.0-85162966840,10.1111/blar.13487,apellido+inicial,2026-08-27
Henriquez-Olguin C.,0000-0002-9315-9365,2-s2.0-85163335724,10.1073/pnas.2211041120,apellido+inicial,2026-08-27
Fernández-Verdejo R.,0000-0002-5948-2281,2-s2.0-85163863916,10.3390/foods12122313,apellido+inicial,2026-08-27
Nuñez-Lisboa M.,0000-0003-0051-9833,2-s2.0-85164242622,10.1016/j.jbiomech.2023.111704,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-85164258460,10.1371/journal.pone.0288344,apellido+inicial,2026-08-27
Nùñez-Lisboa M.,0000-0003-0051-9833,2-s2.0-85164498836,10.3389/fphys.2023.1194889,apellido+inicial,2026-08-27
Valero-Breton M.,0000-0001-6552-2262,2-s2.0-85164498836,10.3389/fphys.2023.1194889,apellido+inicial,2026-08-27
Castro-Sepulveda M.,0000-0002-2270-299X,2-s2.0-85164782414,10.3389/fcell.2023.1212779,apellido+inicial,2026-08-27
Tuñón-Suárez M.,0000-0002-3085-9057,2-s2.0-85164782414,10.3389/fcell.2023.1212779,apellido+inicial,2026-08-27
Vargas-Foitzick R.,0000-0003-4466-1276,2-s2.0-85164782414,10.3389/fcell.2023.1212779,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-85165634348,10.1007/s40279-023-01889-y,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-85165944801,10.3390/antiox12071446,apellido+inicial,2026-08-27
Zbinden-Foncea H.,0000-0002-9643-1037,2-s2.0-85165967874,10.3390/nu15143244,apellido+inicial,2026-08-27
Cerón M.L.,0000-0001-8662-8189,2-s2.0-85166389205,10.1039/d3cp02056h,apellido+inicial,2026-08-27
Henriquez-Olguin C.,0000-0002-9315-9365,2-s2.0-85167819692,10.1016/j.redox.2023.102842,apellido+inicial,2026-08-27
Montero V.,0000-0003-4368-2868,2-s2.0-85168471820,10.5354/0719-1529.2023.68114,apellido+inicial,2026-08-27
Ossa-Cox M.,0009-0006-4778-3235,2-s2.0-85169176437,10.1097/SCS.0000000000009474,apellido+inicial,2026-08-27
Fernández-Verdejo R.,0000-0002-5948-2281,2-s2.0-85170255103,10.1017/S0007114523001927,apellido+inicial,2026-08-27
Regueira T.,0000-0001-7253-5651,2-s2.0-85170692575,10.4067/S0034-98872023000100120,apellido+inicial,2026-08-27
Yanine F.,0000-0003-1086-0840,2-s2.0-85171790440,10.1016/j.procs.2023.07.004,apellido+inicial,2026-08-27
Ruiz-Riquelme P.,0000-0002-3293-8189,2-s2.0-85171831612,10.1016/j.fas.2023.09.002,apellido+inicial,2026-08-27
Hartmann Schatloff D.,0000-0002-7140-4294,2-s2.0-85171862350,10.1016/j.piel.2023.03.012,apellido+inicial,2026-08-27
Simón L.,0000-0002-0130-3519,2-s2.0-85172189023,10.3390/antiox12091734,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-85172189023,10.3390/antiox12091734,apellido+inicial,2026-08-27
Benites M.H.,0000-0001-6366-534X,2-s2.0-85172207120,10.1186/s40635-023-00550-2,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-85172467984,10.3390/foods12183326,apellido+inicial,2026-08-27
Fernández-Verdejo R.,0000-0002-5948-2281,2-s2.0-85172687954,10.3390/curroncol30090585,apellido+inicial,2026-08-27
Gubbins V.,0000-0003-2175-2941,2-s2.0-85172793336,10.7764/PEL.60.2.2023.8,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-85172884699,10.1123/ijspp.2023-0174,apellido+inicial,2026-08-27
Cottin M.,0000-0002-9460-7190,2-s2.0-85173023995,10.1186/s12888-023-05201-0,apellido+inicial,2026-08-27
Álvarez-Valdés C.,0000-0003-0402-5072,2-s2.0-85173158848,10.11600/rlcsnj.21.3.5894,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-85173868977,10.3390/foods12193694,apellido+inicial,2026-08-27
Méndez-Sánchez R.E.,0000-0002-9199-827X,2-s2.0-85173961286,10.31876/rcs.v29i.40945,apellido+inicial,2026-08-27
Villarroel V.,0000-0002-3000-2248,2-s2.0-85174143023,10.3390/su151914199,apellido+inicial,2026-08-27
Hartmann Schatloff D.,0000-0002-7140-4294,2-s2.0-85174710743,10.1016/j.piel.2023.07.002,apellido+inicial,2026-08-27
Fernández-Verdejo R.,0000-0002-5948-2281,2-s2.0-85175348912,10.1016/j.jlr.2023.100442,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-85175498298,10.1123/ijspp.2023-0133,apellido+inicial,2026-08-27
Henriquez-Olguin C.,0000-0002-9315-9365,2-s2.0-85175547049,10.1016/j.freeradbiomed.2023.10.404,apellido+inicial,2026-08-27
Yanine F.F.,0000-0003-1086-0840,2-s2.0-85175966754,10.1515/ehs-2023-0015,apellido+inicial,2026-08-27
Roa Cáceres C.,0000-0002-6049-9718,2-s2.0-85176948592,10.35687/s2452-454920230061833,apellido+inicial,2026-08-27
Lang M.,0000-0002-8465-5471,2-s2.0-85179686047,10.3389/fresc.2023.1274180,apellido+inicial,2026-08-27
Tabilo Prieto I.,0000-0002-7501-5085,2-s2.0-85179692415,10.14507/epaa.31.7907,apellido+inicial,2026-08-27
Strauss F.J.,0000-0002-5832-7327,2-s2.0-85179989770,10.1111/cid.13297,apellido+inicial,2026-08-27
Valle M.A.,0000-0003-1362-2776,2-s2.0-85180657691,10.3390/e25121649,apellido+inicial,2026-08-27
Undurraga R.,0000-0001-5801-2125,2-s2.0-85181196845,10.1080/14759551.2023.2294999,apellido+inicial,2026-08-27
Rojas-Costa G.M.,0000-0002-6228-2678,2-s2.0-85181891137,10.1038/s41531-024-00630-4,apellido+inicial,2026-08-27
