nombre_en_fuente,orcid,veredicto,detalle,dois_atribuidos,dois_en_registro,dois_coincidentes,afiliacion_institucional_declarada,afiliaciones_declaradas,fecha_consulta,tipo,severidad,consecuencia,resolucion
Mendez-Rebolledo G.,0000-0001-7948-3807,sin_coincidencia,el titular declara 63 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,63,0,False,Universidad Santo Tomas,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Molina C.,0000-0001-8208-0435,sin_coincidencia,el titular declara 40 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,40,0,False,Universidad San Sebastián - Campus Bellavista | Universidad Mayor,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Orellana-Donoso M.I.,0000-0002-1781-062X,sin_coincidencia,el titular declara 24 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,24,0,True,Universidad Finis Terrae Facultad de Medicina | Universidad San Sebastián - Campus Bellavista | Universidad Andrés Bello,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Poblete Alday P.,0000-0001-6191-8518,sin_coincidencia,el titular declara 2 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,2,0,True,Universidad Finis Terrae | Universidad Academia de Humanismo Cristiano,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Ponce D.,0000-0002-6178-6938,sin_coincidencia,el titular declara 150 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,150,0,False,Universidade Estadual Paulista Júlio de Mesquita Filho | Universidade de São Paulo,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Prieto I.T.,0000-0002-7501-5085,sin_coincidencia,el titular declara 6 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,6,0,True,Universidad Finis Terrae | Universidad Alberto Hurtado,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Quezada M.,0000-0003-1637-1909,sin_coincidencia,el titular declara 4 obras con DOI y ninguna coincide con las atribuidas a esta firma,2,4,0,False,"Universidad del Desarrollo | Universidad de Los Andes, Chile | Universitat de València | Instituto de Salud Pública de Chile | Hospital Clínico Instituto de Seguridad del Trabajo (IST) del Bio-Bío | Universidad de Concepción",2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Ramirez P.,0000-0003-0593-7161,sin_coincidencia,el titular declara 37 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,37,0,False,Fundación Arturo López Pérez | Clínica Las Condes | Clinica davila | Hospital Base | Pontificia Universidad Católica de Chile,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Ramos T.,0000-0001-8563-5483,sin_coincidencia,el titular declara 4 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,4,0,False,Universidad de Guadalajara - Centro Universitario de Ciencias Sociales y Humanidades,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Ramos-Alarcón M.B.,0009-0009-5482-9467,sin_coincidencia,el titular declara 1 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,1,0,True,Universidad Finis Terrae,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Reccius A.,0009-0004-3236-3030,sin_coincidencia,el titular declara 13 obras con DOI y ninguna coincide con las atribuidas a esta firma,8,13,0,False,Clínica Las Condes,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Reyes M.,0000-0001-5279-4234,sin_coincidencia,el titular declara 18 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,18,0,False,Universidad del Azuay,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Rodríguez C.,0000-0001-9578-495X,sin_coincidencia,el titular declara 13 obras con DOI y ninguna coincide con las atribuidas a esta firma,2,13,0,False,"NIH | Universidad Nacional de Córdoba, Facultad de Ciencias Químicas | Centro de Investigaciones en Bioquímica Clínica e Inmunología",2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Rojas D.,0000-0002-1675-2958,sin_coincidencia,el titular declara 13 obras con DOI y ninguna coincide con las atribuidas a esta firma,3,13,0,False,,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Salas C.,0000-0002-9495-9866,sin_coincidencia,el titular declara 3 obras con DOI y ninguna coincide con las atribuidas a esta firma,3,3,0,False,Clínica MEDS (Chile),2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Shabani R.,0000-0001-8781-7862,sin_coincidencia,el titular declara 3 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,3,0,False,Norwegian University of Science and Technology,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Soto M.,0000-0002-6502-4287,sin_coincidencia,el titular declara 4 obras con DOI y ninguna coincide con las atribuidas a esta firma,2,4,0,False,Pontificia Universidad Catolica de Chile Escuela de Medicina,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Sánchez M.,0000-0003-3976-6997,sin_coincidencia,el titular declara 1 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,1,0,True,Universidad Finis Terrae,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Torp O.,0000-0002-1916-5097,sin_coincidencia,el titular declara 21 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,21,0,False,Norwegian University of Science and Technology,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Urrutia A.,0000-0002-1806-1616,sin_coincidencia,el titular declara 24 obras con DOI y ninguna coincide con las atribuidas a esta firma,2,24,0,True,Finis Terrae University | Universidad Catolica del Maule | Universidad Católica de San Pablo,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Val V.,0000-0003-3680-3385,sin_coincidencia,el titular declara 14 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,14,0,False,,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Valenzuela C.,0000-0003-3564-153X,sin_coincidencia,el titular declara 8 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,8,0,False,Pontificia Universidad Católica de Valparaíso,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Vallejos G.,0000-0002-6807-1791,sin_coincidencia,el titular declara 8 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,8,0,False,,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Varas-Diaz G.,0000-0002-4621-056X,sin_coincidencia,el titular declara 7 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,7,0,False,University of Illinois at Chicago | Clinica Los Coihues,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
de la Fuente M.,0000-0003-0577-7604,sin_coincidencia,el titular declara 4 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,4,0,True,Universidad Finis Terrae | Clínica Las Condes,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
