forma_de_firma,scopus_author_ids,n_scopus_ids,orcid_master,orcid_detallado,orcid_fuente,orcid_confianza,n_publicaciones,unidades,n_unidades,confianza_max,identidad_grupo,identidad_origen
Maldonado-Agurto R.,50461880700,1,,0000-0002-8326-9800,Crossref,media,2,Facultad de Medicina y Salud,1,alta,,
Nieto I.,57201459299,1,,0000-0001-5600-9248,Crossref,media,2,Facultad de Artes,1,alta,,
Massa Á.A.,56087752400,1,,0000-0003-3188-0189,OpenAlex,media,2,Facultad de Derecho,1,alta,Massa A.A.,humana
Ayares G.,57328635500,1,,0000-0002-8651-2255,Crossref,alta,2,Facultad de Medicina y Salud,1,alta,,
Ossa-Cox M.,58555985000,1,,0009-0006-4778-3235,Crossref,media,2,Facultad de Medicina y Salud,1,alta,,
Ortiz-Orellana G.,58690311300,1,,,,,2,Facultad de Medicina y Salud,1,alta,,
Ferreira-Wortsman C.,57201701782,1,,,,,2,Facultad de Medicina y Salud,1,alta,,
Pizarro S.,59137082400,1,,0000-0003-3454-4252,Crossref,media,2,Facultad de Medicina y Salud,1,alta,Pizarro S.,humana
Massa A.A.,56087752400,1,,0000-0003-3188-0189,OpenAlex,alta,2,No determinada,0,alta,Massa A.A.,humana
Retamal M.J.,36878084500,1,,,,,2,Facultad de Ingeniería,1,alta,,
Giordanino E.,57200188404,1,,0000-0001-7380-4753,Revisión humana (candidato por afiliación confirmado),alta,2,Facultad de Medicina y Salud,1,alta,Giordanino E.,humana
Ramos A.,58861387700,1,,0000-0002-1248-0553,OpenAlex,alta,2,Facultad de Medicina y Salud,1,alta,,
